ruta_relativa,tipo,bytes,fecha_modificacion_utc,sha256,duplicado_de,dimensiones_o_paginas,uso_propuesto
Catalogo/Junio/19-6/19-6.ai,application/postscript,396266,2026-06-19T12:05:12+00:00,a78dd57c06f64153f6bce4b0c54a50b70fe90ac0cdd7cff7de777ad8c2fa82fa,,,Identidad oficial; selección visual y contraste
Catalogo/Junio/19-6/Catálogo BOMBO interior premium.png,image/png,193483,2026-06-19T12:04:14+00:00,dca57969be566850f06b31b6e6c8ea9d16998aa3c0af70c3ac488ef6a52611b9,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Junio/19-6/PDF BOMBO-3 (1).pdf,application/pdf,4325152,2026-06-19T13:07:16+00:00,16f6383814b3b8e7cec172472639b92df2442d9863c8edf30a11ef511721d701,,7 páginas,Identidad oficial; selección visual y contraste
Catalogo/Junio/22-6 /Promo interior.png,image/png,149487,2026-06-22T11:21:08+00:00,fa4e4a2c8ce3771c89485c01295861237ebc0240aab1955e35a890679c86e877,,4501x6000,Identidad oficial; selección visual y contraste
Catalogo/Junio/22-6 /Story_promo exterior.png,image/png,195448,2026-06-22T11:21:08+00:00,6e9240abb7fdee7a3915b7f03adc880181fbb742af8907ca1ec206073bcdf484,,4500x8000,Identidad oficial; selección visual y contraste
Catalogo/Junio/22-6 /Story_promo interior.png,image/png,172331,2026-06-22T11:21:08+00:00,fe8e206f2805f5ca11ed8a1da379fd68b6138037fc4fe1d85828d8445e27e770,,4501x8000,Identidad oficial; selección visual y contraste
Catalogo/Junio/23-6/PDF BOMBO-4.pdf,application/pdf,3806332,2026-06-23T12:39:36+00:00,378b23dd273a85a5168be7c9377e4f4c980806b2e36e86fc3872f61bbdb38740,,9 páginas,Identidad oficial; selección visual y contraste
Catalogo/Junio/24-6/interior_catalogo.png,image/png,148816,2026-06-24T09:51:04+00:00,dc2e925b3602a2b91433044e2f7fecb74556176a18d3d2f1aad7097aa9a9316a,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Junio/24-6/interior_story.png,image/png,145645,2026-06-24T09:23:08+00:00,7aa7c34a667786feaf68d666a46d31fecf242dc4bf71ac55d9d71b153592f522,,2250x4000,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/29-6 exterior.ai,application/postscript,401618,2026-06-29T12:21:28+00:00,6968ab94ea01c946764d23de144626b7c63fb4e794d4688049cd6f51b35e65b1,,,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/29-6 exterior.png,image/png,585772,2026-06-29T12:26:06+00:00,79b265820bdda57603f05609e29f414e3b85ba458ed4d3705b415663154e1adf,,4500x6000,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/29-6 interior.ai,application/postscript,378243,2026-06-29T12:38:26+00:00,cd5b234ef936d5ae050675d9e3638b3628f63f1091db27049e1d75406b521584,,,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/29-6 interior.png,image/png,318988,2026-06-29T12:38:48+00:00,ad92d8e3be779e4443f1d388935031872876cc32c7bb24b773f3daf10bfe0f49,,4500x6000,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/29-6 Promos 15 y 30g-04.png,image/png,369811,2026-06-29T12:47:20+00:00,b0958c159d59ca51c578532931936c81d12f012ab2b4a521f5eeaaa33de7cd0c,,4500x6000,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/29-6 Promos 15 y 30g-05.png,image/png,379987,2026-06-29T12:47:20+00:00,a931c1d4f3a744ef97c4b10c26f6fc182fc1e9edf071ee33b64dae584a3c9d43,,4500x6000,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/29-6_storys_Promos 15 y 30g(1).png,image/png,410869,2026-06-29T12:55:34+00:00,0f1408fbf3cbf042062c7d70ca863308af8ec6bbf3744dc53a412b10a5d1670e,,4500x8000,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/29-6_storys_Promos 15 y 30g.png,image/png,400502,2026-06-29T12:55:44+00:00,293a886c0daba8dae21cc93f1240c13e1a689abd3653ea5125b03c59fd40fc62,,4500x8000,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/Bombo - Nuevos productos-01.png,image/png,548308,2026-05-08T17:39:10+00:00,f1fe4906090cdcf69c0ea24c06f32b1979ba5e1e3062a09f1bd2ed3d8cd8e244,,1599x2000,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/productos_1.png,image/png,1449754,2026-06-29T12:59:16+00:00,1589c6c1db94e603df6e56976fc86209102bfddc5e059edd608f14d538f64cb3,,4500x6000,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/productos_2.png,image/png,707011,2026-06-29T12:59:24+00:00,81c9941dc15e673dc7b3ba38747c6830c0b54319fd4fa9d23b428b3d74da76d2,,4500x6000,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/story-horario.png,image/png,357420,2026-06-29T13:07:36+00:00,387650217dc52fa8b7cdcb4a3be3aaebc4a2310ff87cb53b44e71a0b9d094f99,,4500x8000,Identidad oficial; selección visual y contraste
Catalogo/Junio/29-6/story-horario_1730.png,image/png,347990,2026-06-29T13:21:00+00:00,c4dfc2d3013638151d203651f31857ef318622391e43234c54d246c7bd435605,,4500x8000,Identidad oficial; selección visual y contraste
Catalogo/Junio/3-6/3-6.ai,application/postscript,402431,2026-06-03T14:38:44+00:00,3929ebf20f98cd612405da7570ae7eb003350d214c8141ca22b8d844e42d6ac8,,,Identidad oficial; selección visual y contraste
Catalogo/Junio/3-6/Catàlogo Bombo interior.png,image/png,315579,2026-06-03T14:38:38+00:00,6abfe4b58193fa20d1e2e9a68fc586bc833447333bf6af56f04891e7e1ac8bc3,,2250x3625,Identidad oficial; selección visual y contraste
Catalogo/Junio/5-6/flyers promos 19-5_ext.png,image/png,158007,2026-06-05T13:55:08+00:00,226675a5b3f0efa78d4e466d79acc6b9c2463b7bee1c7edc3fd7aff139b9bd1e,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Junio/5-6/flyers promos 19-5_int.png,image/png,155091,2026-06-05T13:55:08+00:00,0ab716401588c94fa6391c35f9e65dc90055beac3fba88abab9eaf5546506a4a,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Mayo/12-5/12-5.ai,application/postscript,379426,2026-05-12T17:11:14+00:00,facbf3bf7050367f03a602d6d2294877126d7e37eae6c9d5e4c8d1fd16309ba5,,,Identidad oficial; selección visual y contraste
Catalogo/Mayo/12-5/Tropical Kush.png,image/png,137287,2026-05-12T16:58:14+00:00,ae8382afef4e1c28a868f2b42e432618b81c01df4bc3429835c959a972535e56,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Mayo/18-5/18-5 exterior.ai,application/postscript,372252,2026-05-18T13:17:32+00:00,854299a1dd493eabeb5639861b0d09e8ce58f22b0d48ffaed3e60b0709dbe460,,,Identidad oficial; selección visual y contraste
Catalogo/Mayo/18-5/18-5.ai,application/postscript,412701,2026-05-18T13:10:48+00:00,3311950f942f841e9d0dacfba1b9902e7d5435076a2ee3c46adb958655354b23,,,Identidad oficial; selección visual y contraste
Catalogo/Mayo/18-5/Bombo catálogo_intpremium y premium+png.png,image/png,275321,2026-05-19T09:42:46+00:00,78655426134cd1987b7856623b402af9578a274a05ed91e8d80d67b79ce31277,,1080x1440,Identidad oficial; selección visual y contraste
Catalogo/Mayo/18-5/Bombo_catálogo.png,image/png,241865,2026-05-18T13:10:00+00:00,7d6bb7d836204b980c5021a2260a3202a7c16f0783991fcf7271dba512329b57,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Mayo/18-5/Bombo_catálogoEXTERIOR.png,image/png,129071,2026-05-18T13:18:46+00:00,aec354b1a8a164b9c97d5831e916ec9328449852c209cac6474e8ca63486b1a9,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Mayo/6-5/6-5.ai,application/postscript,114755,2026-05-06T12:40:32+00:00,e1d8121e9b7f5c29f8c4b899748e278dd86cabd6e8d6d3c3b4d7dca11bf493dd,,,Identidad oficial; selección visual y contraste
Catalogo/Mayo/6-5/Catálogo EXT_6-5.jpg,image/jpeg,1429630,2026-05-06T12:39:04+00:00,263fbe3a8031d31bc76d36053b31012b28e25c96737826e831ba43ee4002ab40,,2807x3642,Identidad oficial; selección visual y contraste
Catalogo/Mayo/8-5/Catálogo .ai,application/postscript,132907,2026-05-08T15:32:14+00:00,f37020de1100977becf8f497b229ff631c02f04928b4fb2430c82881eb6bffa5,,,Identidad oficial; selección visual y contraste
Catalogo/Mayo/8-5/Catálogo ext.png,image/png,252819,2026-05-08T14:38:22+00:00,b454c68881f9517b5bc85eb45eabea8a272b3cf22de71c5028e26305ebe9e385,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Mayo/8-5/Flyer gomitas.png,image/png,548308,2026-05-08T17:39:48+00:00,f1fe4906090cdcf69c0ea24c06f32b1979ba5e1e3062a09f1bd2ed3d8cd8e244,Catalogo/Junio/29-6/Bombo - Nuevos productos-01.png,1599x2000,Identidad oficial; selección visual y contraste
Catalogo/Mayo/8-5/Flyer Kief.png,image/png,1097372,2026-05-08T14:54:56+00:00,9c7767f4bc612baaeb89186f06d31c03f37ee27c2d086b35d8b5f4e6970807c7,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Mayo/8-5/Flyer pen.png,image/png,452430,2026-05-08T14:52:08+00:00,cfe147a822833f85fabd36338c5f6a9f9d1871dc16d0d2f39ef3981a2295b628,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Mayo/8-5/Flyer promo .png,image/png,681842,2026-05-08T15:29:02+00:00,4b0d9e0021290fe4cd715ad8745032e901de5e7291c6388e43083550e749d9f6,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Mayo/8-5/Flyer promo.ai,application/postscript,5711097,2026-05-08T15:27:52+00:00,de31b28501cdb9ef64d5c92805998545cc299baff410e2f99e7d9283b905aa98,,,Identidad oficial; selección visual y contraste
Catalogo/Promos 15 y 30g.ai,application/postscript,416563,2026-06-22T11:31:08+00:00,a7411ba559ffecc33b20323dd549756776c860d023b65165047378ddb1109470,,,Identidad oficial; selección visual y contraste
Etiquetas/Editables/BOMBO Etiquetas_Op1 Informe.txt,text/plain,1921,2025-02-04T21:14:26+00:00,eda9cc464bf09b773cd7f312b2cdd15c4e9fe4ccf0aa0b18a96f95b371ce816a,,,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Etiqueta_Bombo_00.ai,application/postscript,607485,2025-07-14T20:15:12+00:00,1145a480476d65bfbe82263667a63f1ee6430b30d1e963ac7ed9680241c9e876,,,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Etiqueta_EXT_IMPRESION.pdf,application/pdf,655725,2025-07-30T15:32:02+00:00,44dd35f83e43e405aeabb6ee1828d8c76cb6dfe44a9a2caa0271c56c19df8217,,7 páginas,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Etiqueta_INT_IMPRESION_OCT.ai,application/postscript,1582972,2025-10-26T16:01:54+00:00,3aa23b754012b446a29201b7c88fc16e3c651517663bcaeabf62277793300450,,,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Fonts/BricolageGrotesque_72pt-Light.ttf,font/ttf,91020,2024-09-04T19:11:20+00:00,af0fe4b1b87793ba0dd9fd6bbe48276a679329cdc112eb4670239e117d857712,,,Tipografía; comprobar licencia antes de distribución
Etiquetas/Editables/Fonts/BricolageGrotesque_72pt-SemiBold.ttf,font/ttf,90964,2024-09-04T19:11:20+00:00,3aa14f4caa54f139f45bcfd30ed1b3ef0db1970856715f96133d7f72d6ff14f5,,,Tipografía; comprobar licencia antes de distribución
Etiquetas/Editables/Links/9185570.png,image/png,32316,2023-06-27T14:22:38+00:00,fefe919feca45e9ff952dcfcf021f405db34bb1d28a646a5c0b887e236e73883,,3000x2000,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 10.jpg,image/jpeg,46279,2025-02-04T21:14:50+00:00,584f79fd51ef3ca93956c5b2b8dcc024a185943f423402865821e9ddd050af7c,,326x178,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 11.jpg,image/jpeg,70633,2025-02-04T21:14:48+00:00,1b33b06bb951f3d60568e70c68008afe88631cd52bb80682047d52531eb03fbf,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 12.jpg,image/jpeg,70724,2025-02-04T21:14:50+00:00,5629c472b07eb835f4d6e23e3cf2f710fa8c4ed7b91e98e1968b3403903cde18,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 13.jpg,image/jpeg,79003,2025-02-04T21:14:48+00:00,02042dd4ad00e836915fc6f0f186ac50cf6f9570c6e77bb7047d8a25e3c6766f,,415x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 14.jpg,image/jpeg,79788,2025-02-04T21:14:50+00:00,d7fd9043111c2001a24fab8932fcf003f9cc73cac8ba2c6b84cdc9788d20e4aa,,415x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 2.jpg,image/jpeg,55387,2025-02-04T21:14:50+00:00,6554805123cdcccedc43a79ea330fcd036fb18ca2ccd439c8def9db5b24edba0,,444x196,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 25.jpg,image/jpeg,75116,2025-02-04T21:14:48+00:00,e25d1ac7384e15c2a6fed7ac6513e4c151f5c6c70749876904e7e0c6c86c6e74,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 26.jpg,image/jpeg,74400,2025-02-04T21:14:48+00:00,d6cd0b84e76c852c8c1eda626d73324013806c0bda535b09ec20d0c95f8d6282,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 27.jpg,image/jpeg,77686,2025-02-04T21:14:48+00:00,1305a2fa22def2989263d401c5c2b8440d9f130ff2a5ec3ce6692970596ef459,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 28.jpg,image/jpeg,67814,2025-02-04T21:14:48+00:00,dd75aeb96ac4396a9326a30757c1aa29d818040955c4146fe381d85885a596df,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 29.jpg,image/jpeg,74555,2025-02-04T21:14:50+00:00,eef5de4659bd21d285a13be3d12460b917d8eea0c42c0f08f61dc1a3222ec497,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 3.jpg,image/jpeg,70976,2025-02-04T21:14:48+00:00,47f6f9e95a589834ce4041df2a95ad446093704e866a848b994edb17af66b20e,,415x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 30.jpg,image/jpeg,80811,2025-02-04T21:14:50+00:00,1b7b2f572dd4d9a7f108f048727741ad54d7e64fdd146233b0067845c880388e,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 31.jpg,image/jpeg,69455,2025-02-04T21:14:50+00:00,e5793305f51d7919f3a7c3553e9718938bdefdb5339ea8dda80bf79e60b3eac2,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 32.jpg,image/jpeg,73939,2025-02-04T21:14:50+00:00,e976ee491660782a219dc74f9573462b62cea93cc6c70ab9ae7a091bdaa4e49e,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 4.jpg,image/jpeg,73995,2025-02-04T21:14:48+00:00,aabcf67b04e42888094b41065854b533369d7cac7f0b4d19dde47ffc2dd168f7,,415x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 5.jpg,image/jpeg,68136,2025-02-04T21:14:50+00:00,05bde487dbbc490b10a3d41c475c1fb743e144ad60b92baeff184f1860b1b7f2,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 6.jpg,image/jpeg,75155,2025-02-04T21:14:50+00:00,7ece89dfc4f8625d87d695e2af4abba137d5bdf093ea784c10cf81c089c5da30,,415x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 7.jpg,image/jpeg,73795,2025-02-04T21:14:50+00:00,5aa8734562a9b0efeab064adfcdf30caacb0dd78f30d0035fd8c23ce7f911fa2,,415x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 8.jpg,image/jpeg,55710,2025-02-04T21:14:50+00:00,f06f8e3dc8bfc3db711cbb4021ba5ffbb33eb74366a543f58ea84ffa8238ec88,,444x196,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia 9.jpg,image/jpeg,53481,2025-02-04T21:14:50+00:00,69f0368efc8c9e1a6a9cf215d56fa8dca1a345a0a6277e8d9146972d609cbc25,,444x196,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1 copia.jpg,image/jpeg,42923,2025-02-04T21:14:50+00:00,d5eb798a1f28cfb72c67f32ea49edf26bd5849fc7633872c79b3c6f5475b2380,,326x178,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Editables/Referencia/BOMBO Etiquetas_Op1_Mesa de trabajo 1.jpg,image/jpeg,67574,2025-02-04T21:14:48+00:00,2cdf20003595c424eebb5488867b93cb93b8d72cadd51293554f57a347b3545d,,414x532,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Imprimir/Black mamba.ai,application/postscript,1472070,2026-04-14T15:39:32+00:00,d66cc546ac30f73abe885d901250327dca77aa6b21b53d98af727b829e4678a5,,,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Imprimir/Bourbon street.ai,application/postscript,1474796,2026-05-18T10:41:12+00:00,2ab7eb34d329c51bd624677592738d71a6df0e9d2b23f2b401cc52306af00d42,,,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Imprimir/Bud Chem.ai,application/postscript,1468954,2026-04-14T16:13:24+00:00,1ca4414591d5bc5fbf059d04f863b1b13cdf82a2d68293e10754bfc60a94e431,,,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Imprimir/Celosa.ai,application/postscript,1466318,2026-04-14T16:08:40+00:00,fa2226e13fb3d2580f54d02d5a0da750853fc51165e4f30df49fbffbd7bed8cf,,,Referencia de empaque; no inferir fichas ni claims vigentes
Etiquetas/Imprimir/cherry pie.ai,application/postscript,1465188,2026-07-21T17:23:48+00:00,2fa6d0446f46af800dd72c657b489b9dc2aecf4eba6c096c6fc8834243c84dee,,,Referencia de empaque; no inferir fichas ni claims vigentes
